"cluster ID","marker gene","myAUC","avg_diff","power","","",""
"GABA1","Got1","0.991","1.3990259063241","0.982","","",""
"GABA1","Cplx3","0.99","3.6113005101101","0.98","","",""
"GABA1","Ldhb","0.979","1.0923145147879","0.958","","",""
"GABA1","Ndrg4","0.979","1.1893615379805","0.958","","",""
"GABA1","Cplx1","0.977","2.5378206962695","0.954","","",""
"GABA1","Sncb","0.975","1.6535197014878","0.95","","",""
"GABA1","Ahi1","0.028","-1.3400228571404","0.944","","",""
"GABA1","AI593442","0.97","2.1815562430025","0.94","","",""
"GABA1","Atp1a3","0.965","1.1588307517705","0.93","","",""
"GABA1","Cend1","0.961","1.3044868067368","0.922","","",""
"GABA1","Eef1a1","0.04","-1.0882500014184","0.92","","",""
"GABA1","Scn1a","0.958","1.9454653130852","0.916","","",""
"GABA1","Snap25","0.956","1.1473048334992","0.912","","",""
"GABA1","Atp6v1g2","0.95","1.0918488616094","0.9","","",""
"GABA1","Vdac1","0.948","1.1639962848875","0.896","","",""
"GABA1","Gad2","0.947","1.1028837380829","0.894","","",""
"GABA1","6330403K07Rik","0.056","-1.2558112679607","0.888","","",""
"GABA1","Esrrg","0.943","3.9109084105089","0.886","","",""
"GABA1","Timp3","0.939","2.3163372576748","0.878","","",""
"GABA1","Dlgap1","0.937","1.8371410356476","0.874","","",""
"GABA1","Slc25a5","0.934","1.0509156436284","0.868","","",""
"GABA1","Sparcl1","0.934","2.0273185448806","0.868","","",""
"GABA1","Elavl4","0.93","1.1092586699489","0.86","","",""
"GABA1","Syt7","0.923","1.8215149909721","0.846","","",""
"GABA1","Plcb1","0.92","1.7665404467813","0.84","","",""
"GABA1","Cygb","0.919","1.3545049945581","0.838","","",""
"GABA1","Mtfp1","0.915","1.5586525467363","0.83","","",""
"GABA1","Slc32a1","0.915","1.0658259169771","0.83","","",""
"GABA1","Slc35f1","0.912","2.1843827984318","0.824","","",""
"GABA1","Mgst3","0.909","1.8913014841925","0.818","","",""
"GABA1","Gaa","0.092","-1.3371255393173","0.816","","",""
"GABA1","Syngr1","0.907","1.0809293388489","0.814","","",""
"GABA1","Fndc5","0.904","2.2734564071208","0.808","","",""
"GABA1","Rps21","0.098","-1.0735300295275","0.804","","",""
"GABA1","Nr2f2","0.895","1.8982123031056","0.79","","",""
"GABA1","Mxra7","0.894","1.9658776709704","0.788","","",""
"GABA1","Pcp4","0.108","-4.8495264668595","0.784","","",""
"GABA1","Eepd1","0.892","3.5349750889843","0.784","","",""
"GABA1","Kcnc1","0.892","1.1158137677708","0.784","","",""
"GABA1","Ak5","0.891","2.093074950028","0.782","","",""
"GABA1","Six3","0.889","1.9490451120884","0.778","","",""
"GABA1","Hs3st4","0.888","3.2773244360652","0.776","","",""
"GABA1","Serpini1","0.888","2.0245330979652","0.776","","",""
"GABA1","Gad1","0.887","1.3695951962758","0.774","","",""
"GABA1","Ptprd","0.887","1.9940547244972","0.774","","",""
